script	glottocode	collected	source	omniglot	iso15924
Abaza	abaz1241	Anna Sorokina	Hewitt, G. (2004). Introduction to the Study of the Languages of the Caucasus. München: Lincom.	https://www.omniglot.com/writing/abaza.htm	Cyrl
Abkhaz	abkh1244	Anna Sorokina	Hewitt, G. (2004). Introduction to the Study of the Languages of the Caucasus. München: Lincom.	https://www.omniglot.com/writing/abkhaz.htm	Cyrl
Acehnese	achi1257	Irina Astafyeva	Durie, M. (1987). Grammatical relations in Acehnese. Studies in Language. International Journal sponsored by the Foundation: Foundations of Language, 11(2), 365-399.	https://www.omniglot.com/writing/acehnese.htm	Arab
Adyghe	adyg1241	Anna Sorokina	Hewitt, G. (2005). North West Caucasian. Lingua, 115(1–2), 91–145.	https://www.omniglot.com/writing/adyghe.htm	Cyrl
Afrikaans	afri1274	Anna Simonyan	McDermott, L. (2005). Teach Yourself Afrikaans. NTC Publishing Group.	https://www.omniglot.com/writing/afrikaans.htm	Latn
Aghul	aghu1253	Anna Sorokina	Магометов, А. А. (1967). Агульский язык. Языки народов СССР, Т.4: Кавказские языки. Москва, 562-579. Гасанова, С.Н. (2016) Говорим по-агульски.  Махачкала: Издательство ДГУ.	https://www.omniglot.com/writing/aghul.htm	Cyrl
Ahtna	ahte1237	Valeriia Kozenasheva	Siri G. Tuttle. 2010. Syllabic obstruents in Ahtna Athabaskan.	https://www.omniglot.com/writing/ahtna.htm	Latn
Ainu (Katakana)	ainu1252	Kanami Tobe	1994『アコㇿ イタㇰAKOR ITAK アイヌ語テキスト１』, Phonplogical change in Japanese-Ainu Loanwords, Edwin Everhart, 2009: 10-11	https://www.omniglot.com/writing/ainu.htm	Kana
Ainu (Latin)	ainu1252	Kanami Tobe	1994『アコㇿ イタㇰAKOR ITAK アイヌ語テキスト１』, Phonplogical change in Japanese-Ainu Loanwords, Edwin Everhart, 2009: 10-11	https://www.omniglot.com/writing/ainu.htm	Latn
Amharic	amha1245	Anna Verdieva	Leslau, W. (1995). Reference grammar of Amharic. Otto Harrassowitz Verlag.	https://www.omniglot.com/writing/amharic.htm	Ethi
Anutan	anut1237	Nikita Shennikov	Feinberg Richard, The Anutan Language Reconsidered: Lexicon and Grammar of a Polynesian Outlier, Volume 1, 1977	https://www.omniglot.com/writing/anutan.htm	Latn
Apache	west2615	Valeriia Kozenasheva	Harry Hoijer. 1970. Chiricahua Apache.	https://www.omniglot.com/writing/apache.htm	Latn
Arabic	arab1395	Irina Astafyeva	Ryding, K. C. (2005). Modern Standard Arabic. Cambridge University Pres, UK.	https://www.omniglot.com/writing/arabic.htm	Arab
Arawak	araw1281	Alina Tillabayeva	Pet, W. (2011). A grammar sketch and lexicon of Arawak (Lokono Dian). SIL e-Books, 30.	https://www.omniglot.com/writing/arawak.htm	Latn
Archi	arch1244	Anna Sorokina	Chumakina, M., Brown, D., Corbett, G., Quilliam, H. (2007). A dictionary of Archi: Archi-Russian-English (Online edition). University of Surrey.	https://www.omniglot.com/writing/archi.htm	Cyrl
Armenian	nucl1235	Antonina Sinelnik	Dum-Tragut, Jasmine (2009). Armenian: Modern Eastern Armenian	https://www.omniglot.com/writing/armenian.htm	Armn
Avar	avar1256	Anna Sorokina	Мадиева, Г. И. (1967) Аварский язык. Языки народов СССР, Т.4: Кавказские языки. Москва, 255-271.	https://www.omniglot.com/writing/avar.htm	Cyrl
Aymara	nucl1667	Alina Tillabayeva	Hardman, Martha James, Juana Vásquez, and Juan de Dios Yapita. Aymara Grammatical Sketch: To Be Used with Aymar Ar Yatiqañataki. Gainesville, Fla: Aymara Language Materials Project, Dept. of Anthropology, University of Florida, 1971.	https://www.omniglot.com/writing/aymara.htm	Latn
Bambara	bamb1269	Roman Tarasov	Doumboya (2012) Illustrated English/N'ko Alphabet: An Introduction to N'ko for English Speakers.	https://omniglot.com/writing/nko.htm	Nkoo
Bashkir	bash1264	Vyacheslav Ivanov	Yuldashev, A. A. (red.) (1981) Grammatika sovremennogo bashkirskogo literaturnogo yazyka. Moscow	https://www.omniglot.com/writing/bashkir.htm	Cyrl
Beaver	beav1236	Valeriia Kozenasheva	Tiina Kathryn Randoja. 1990. The phonology and morphology of halfway river Beaver. Ottawa, Canada.	https://www.omniglot.com/writing/beaver.htm	Latn
Belarusian 1	bela1254	Darya Zubova	Sjarzhuk, A. (2000) Govori so mnoj po-belorusski. Minsk	https://www.omniglot.com/writing/belarusian.htm	Cyrl
Belarusian 2	bela1254	Violetta Ivanova	Peter Mayo. Belorussian. Bernard Comrie, Greville C. Corbett (eds.) The Slavonic Languages. London and New York, 1993.	https://www.omniglot.com/writing/belarusian.htm	Cyrl
Bengali	beng1280	Anna Sorokina	Thompson, H.-R. (2012). Bengali. Amsterdam: John Benjamins Pub. Co.	https://www.omniglot.com/writing/bengali.htm	Beng
Breton	bret1244	Tanya Masumi	Press I., Bihan H. Colloquial Breton: The complete course for beginners //FORUM FOR MODERN LANGUAGE STUDIES. – GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND : OXFORD UNIV PRESS, 2005.	https://www.omniglot.com/writing/breton.htm	Latn
Bulgarian 1	bulg1262	Darya Zubova	Maslov, Yu. S. (1981) Grammatika bolgarskogo yazyka. Moscow	https://www.omniglot.com/writing/bulgarian.htm	Cyrl
Bulgarian 2	bulg1262	Violetta Ivanova	Ernest A. Scatton. Bulgarian. Bernard Comrie, Greville G. Corbett (eds.). The slavonic languages. 1993	https://www.omniglot.com/writing/bulgarian.htm	Cyrl
Buryat	buri1258	Vyacheslav Ivanov	Sanzheev (red.) (1962) Grammatica buryatskogo yazika: Fonetica i morfologiya / Red. G.D. Sanzheev. Moscow	https://www.omniglot.com/writing/buryat.htm	Cyrl
Catalan	stan1289	Tanya Masumi	Miyara Alberto José, Brunelli Mihele. Catalan Grammar / Грамматика каталанского языка	https://www.omniglot.com/writing/catalan.htm	Latn
Chechen	chec1245	Anna Sorokina	Dotton, Z., Wagner, J. D. A grammar of Chechen.	https://www.omniglot.com/writing/chechen.htm	
Cherokee	cher1273	Anna Verdieva	Montgomery-Anderson, 2008: 31-107	https://www.omniglot.com/writing/cherokee.htm	Cher
Chipewyan	chip1261	Valeriia Kozenasheva	Li Fang-Kuei	https://www.omniglot.com/writing/chipewyan.htm	Latn
chiTonga	chit1281	Anna Simonyan	Carter, H., & Kashoki, M. E. (2002). An outline of Chitonga grammar. Bookworld Pub House.	NA	Latn
Comorian	como1260	Irina Astafyeva	Mohamed, M. A. (2001). Modern Swahili Grammar. East African Publishers.	https://www.omniglot.com/writing/comorian.htm	Arab
Cornish	corn1251	Tanya Masumi	Smith A. S. D., Hooper E. G. R. Cornish simplified: short lessons for self-tuition: pronunciation, grammar, exercises. – Dyllansow Truran, 1972.	https://www.omniglot.com/writing/cornish.htm	Latn
Crimean Tatar	crim1257	Vyacheslav Ivanov	Kavitskaya D. (2010) Crimean Tatar. Linkom Europa	https://www.omniglot.com/writing/crimeantatar.php	Cyrl
Czech	czec1258	Violetta Ivanova	Laura A. Janda and Charles E. Towsend. Czech. 2000	https://www.omniglot.com/writing/czech.htm	Latn
Danish	dani1285	Violetta Ivanova	Michael Herslund. Danish. Lincom Europa, 2002.	https://www.omniglot.com/writing/danish.htm	Latn
Dargwa	darg1241	Anna Sorokina	Абдуллаев, С.Н. (1954). Грамматика даргинского языка (фонетика и морфология). Махачкала: Институт истории, языка и литературы Дагестанского филиала АН СССР.	https://www.omniglot.com/writing/dargwa.htm	Cyrl
Dari	dari1249	Irina Astafyeva	Wahab, S. (2004). Beginner's Dari (Persian). Hippocrene Books.	https://www.omniglot.com/writing/dari.htm	Arab
Dena’ina	tana1289	Valeriia Kozenasheva	Alan Boraas. (2009) An introduction to dena’ina grammar:  the kenai (outer inlet) dialect.	https://www.omniglot.com/writing/denaina.htm	Latn
Dhivehi (Thaana)	dhiv1236	Anna Sorokina	Gnanadesikan, A. E., (2012). Maldivian Thaana, Japanese kana, and the representation of moras in writing, Writing Systems Research, 4:1, 91-102, DOI: 10.1080/17586801.2012.693459	https://www.omniglot.com/writing/thaana.htm	Thaa
Dutch	dutc1256	Violetta Ivanova	Gerdi Quist, Dennis Strik. Teach Yourself Dutch. 2003	https://www.omniglot.com/writing/dutch.htm	Latn
Enets	fore1265	Irina Astafyeva	Siegl F. Materials on Forest Enets, an indigenous language of Northern Siberia : дис. – 2011.	https://www.omniglot.com/writing/enets.htm	Cyrl
English (BrE)	stan1293	Violetta Ivanova	Michael Swan. Practical English Usage. Oxford University Press, 2009. Rebecca M. Dauer. Accurate English: a complete course in pronunciation. Prentice Hall Regents, 1993.	https://www.omniglot.com/writing/english.htm	Latn
Erzya	erzy1239	Irina Astafyeva	Г. Аитов. Новый алфавит. Великая революция на востоке. — Саратов: Нижневолжское краевое изд-во, 1932. — С. 61-64. — 73 с. — 3150 экз.	https://www.omniglot.com/writing/erzya.htm	Cyrl
Estonian	esto1258	Irina Astafyeva	http://www.eki.ee/knn/ungegn/un7_gdl.htm	https://www.omniglot.com/writing/estonian.htm	Latn
Ewe	ewee1241	Asya Simonyan	Warburton, I. (1968). Ewe basic course.	https://www.omniglot.com/writing/ewe.htm	Latn
Eyak	eyak1241	Valeriia Kozenasheva	Michael E. Krauss (1965) Eyak: a preliminary report	https://www.omniglot.com/writing/eyak.php	Latn
Faka-Tongan	tong1325	Nikita Shennikov	C. Maxwell Churchward, Tongan Grammar, 1985	https://www.omniglot.com/writing/tongan.htm	Latn
Faroese	faro1244	Violetta Ivanova	Hjalmar P. Petersen and Jonathan Adams. Faroese. A Language Course for Beginners. Grammar. Stidin, 2009.	https://www.omniglot.com/writing/faroese.htm	Latn
Fijian	fiji1243	Tanya Masumi	Dixon R. M. W. A grammar of Boumaa Fijian. – University of Chicago Press, 1988.	https://www.omniglot.com/writing/fijian.htm	Latn
Finnish	finn1318	Irina Astafyeva	https://www.scribd.com/doc/316881341/Teach-Yourself-Finnish-1-pdf#fullscreen=1	https://www.omniglot.com/writing/finnish.htm	Latn
French	stan1290	Tanya Masumi	Batchelor R. E., Chebli-Saadi M. A reference grammar of French. – Cambridge University Press, 2011.	https://www.omniglot.com/writing/french.htm	Latn
Fula	adam1253	Asya Simonyan	Pelletier, C. A., & Skinner, A. N. (1981). Adawama Fulfulde. An introductory course. African Languages and Literature University of Wisconsin-Madison	https://www.omniglot.com/writing/fula.htm	Latn
Futunan	east2447	Tanya Masumi	Diessel H. Demonstratives: Form, function and grammaticalization. – John Benjamins Publishing, 1999. – Т. 42.	https://www.omniglot.com/writing/futunan.htm	Latn
Georgian (Mkhedruli)	nucl1302	Antonina Sinelnik	Aronson, Howard I. (1990). Georgian: a reading grammar	https://www.omniglot.com/writing/georgian2.htm	Geor
German	stan1295	Violetta Ivanova	Bruce Donaldson. German. An Essential Grammar. Routledge: London and New York, 2007.	https://www.omniglot.com/writing/german.htm	Latn
Hän	hann1241	Valeriia Kozenasheva	Patrick E. Marlow. 1997. Han phonology & morphology.	https://www.omniglot.com/writing/han.htm	Latn
Hangul (Korean)	kore1280	Antonina Sinelnik	Lee, Hyun Bok (1999). Korean. Handbook of the International Phonetic Association	https://www.omniglot.com/writing/korean.htm	Hang
Hanuno'o	hanu1241	Roman Tarasov	Conklin (1953) Hanunóo-English Vocabulary. Berkeley & Los-Angeles	https://omniglot.com/writing/hanunoo.htm	Hano
Hawaiian	hawa1245	Nikita Shennikov	Elbert S.H., Pukui M.K., Hawaiian Grammar, 1979	https://www.omniglot.com/writing/hawaiian.htm	Latn
Hebrew	hebr1245	Irina Astafyeva	Glinert, L. (2004). The grammar of modern Hebrew. Cambridge University Press.	https://www.omniglot.com/writing/hebrew.htm	Hebr
Hindi (Devanāgarī)	hind1269	Anna Sorokina	Kachru, Y. (2006). Hindi. Philadelphia: John Benjamins Pub. Co.	https://www.omniglot.com/writing/hindi.htm	Deva
Hungarian	hung1274	Irina Astafyeva	Törkenczy M. Hungarian verbs and essentials of grammar: a practical guide to the mastery of Hungarian. – Ntc Pub Group, 1997.	https://www.omniglot.com/writing/hungarian.htm	Latn
Hupa	hupa1239	Valeriia Kozenasheva	Victor Karl Golla (1960). Hupa Grammar.	https://www.omniglot.com/writing/hupa.htm	Latn
Icelandic	icel1247	Violetta Ivanova	Höskuldur Thráinsson. Icelandic. In Konig, E., & Van der Auwera, J. (2013). The germanic languages. Routledge. Hildur Jonsdottir. Teach yourself Icelandic. McGraw-Hill, 2004.	https://www.omniglot.com/writing/icelandic.htm	Latn
Igbo	nucl1417	Nikita Shennikov	Fichman, B. S. (1975). Jazyk igbo. Izdat. Nauka.	https://www.omniglot.com/writing/igbo.htm	Latn
Ingrian	ingr1248	Irina Astafyeva	http://lingvisto.org/files/ingrian.pdf	https://www.omniglot.com/writing/ingrian.htm	Latn
Ingush	ingu1240	Arseniy Averin	Nichols J. Ingush Grammar. University of California, Berkeley. 2011	https://www.omniglot.com/writing/ingush.htm	Cyrl
Inuktitut	east2534	Roman Tarasov	Rogers (2005) Writing Systems: a Linguistic Approach. pp.253-254	https://omniglot.com/writing/inuktitut.htm	Cans
Irish	iris1253	Tanya Masumi	Doyle A. Irish, volume 201 of Languages of the World/Materials //Munich, Germany: LINCOM EUROPA. – 2001.	https://www.omniglot.com/writing/irish.htm	Latn
Italian	ital1282	Tanya Masumi	Sandro Carnevali, Fonetica della lingua italiana  (1998-2007)	https://www.omniglot.com/writing/italian.htm	Latn
Itbayat	ivat1242	Nikita Shennikov	Cesar A. Hidalgo, A Tagmemic Grammar of Ivatan, 1971	https://www.omniglot.com/writing/itbayat.htm	Latn
Japanese (Hiragana)	nucl1643	Kanami Tobe	Labrune, L. (2012). The phonology of Japanese. Oxford University Press.	https://www.omniglot.com/writing/japanese_hiragana.htm	Hira
Japanese (Katakana)	nucl1643	Kanami Tobe	Labrune, L. (2012). The phonology of Japanese. Oxford University Press.	https://www.omniglot.com/writing/japanese_katakana.htm	Kana
Kabardian	kaba1278	Anna Sorokina	Matasović, R. (2010). A short grammar of East Circassian (Kabardian).	https://www.omniglot.com/writing/kabardian.htm	Cyrl
Kalmyk	kalm1244	Vyacheslav Ivanov	Sanzheev G. D. (red.) Grammatika kalmytskogo yazyka. Fonetika i morfologiya. Elista	https://www.omniglot.com/writing/kalmyk.htm	Cyrl
Kannada	nucl1305	Anna Sorokina	Spencer, H., & Perston, W. (1950). A Kanarese grammar: With graduated exercises. Mysore City, India: Wesley Press.	https://www.omniglot.com/writing/kannada.htm	Knda
Kapingamarangi	kapi1249	Nikita Shennikov	Elbert S. , Kapingamarangi and Nukuoro Word List, With Notes on Linguistic Position, 1946 Pronunciation, and Grammar.	https://www.omniglot.com/writing/kapingamarangi.htm	Latn
Karelian	kare1335	Irina Astafyeva	Zajkov P. M. Grammatika karelĘąskogo jazyka:(fonetika i morfologija). – Periodika, 1999.	https://www.omniglot.com/writing/karelian.htm	Latn
Kazakh	kaza1248	Darya Zubova	Krippers, Karl A. (1997) Kazakh Grammar with Affix List	https://www.omniglot.com/writing/kazakh.htm	Cyrl
Khakas	khak1248	Vyacheslav Ivanov	Dyrenkova N. P. (1948) Grammatica khakasskogo yazika. Abakan	https://www.omniglot.com/writing/khakas.htm	Cyrl
Khmer	cent1989	Daria Demkina	Gorgoniev Y. A. Grammatika khmerskogo jazyka [A grammar of the Khmer language] //Moskva: Izdatel’stvo Nauka. Decorative symmetry in ritual (and everyday) language. – 1966. – Т. 585.	https://www.omniglot.com/writing/khmer.htm	Khmr
Kichwa	colo1257	Alina Tillabayeva	Натаров А. Н. (2013) Грамматика языка кечуа	https://omniglot.com/writing/kichwa.htm	Latn
Kikuyu	kiku1240	Asya Simonyan	Gecaga, B. M., & Kirkaldy-Willis, W. H. (1953). Short Kikuyu Grammar. Macmillan Kenya.	https://www.omniglot.com/writing/kikuyu.htm	Latn
Komi-Permyak	komi1269	Irina Astafyeva	Лыткин В. И. (ред. ) Коми-пермяцкий язык. Введение, фонетика, лексика и морфология. Кудымкар: Коми-пермяцкое книжное издательство, 1962. - 340 с.	https://www.omniglot.com/writing/oldpermic.htm	Cyrl
Koyukon	koyu1237	Valeriia Kozenasheva	Eliza Jones and Joe Kwaraceius (1997). Koyukon grammar.	https://www.omniglot.com/writing/koyukon.htm	Latn
Kri	khap1242	Daria Demkina	Enfield N. J., Diffloth G. (2009) Phonology and sketch grammar of Kri, a Vietic language of Laos. Cahiers de linguistique Asie orientale	https://omniglot.com/writing/kri.htm	Latn
Kurdish	kurd1259	Irina Astafyeva	McCarus, E. N. (2013). Kurdish. In The Iranian Languages (pp. 663-709). Routledge.	https://www.omniglot.com/writing/kurdish.htm	Arab
Kwanyama	kuan1247	Asya Simonyan	Zimmermann, W., & Hasheela, P. (1998). Oshikwanyama grammar. Gamsberg Macmillan Publishers (Pty) Ltd..	https://www.omniglot.com/writing/oshiwambo.php	Latn
Kyrgyz	kirg1245	Darya Zubova	Kara, D. S. (2003) Kyrgyz, Lincom Europa	https://www.omniglot.com/writing/kirghiz.htm	Cyrl
Lak	lakk1252	Anna Sorokina	Schulze, W. (2007). The Lak Language — Лакку маз. A Quick Reference.	https://www.omniglot.com/writing/lak.htm	Cyrl
Latvian	latv1249	Darya Zubova	Mathiassen, T. (1996) A short grammar of Latvian, Slavica Publishers	https://www.omniglot.com/writing/latvian.htm	Latn
Lezgi	ezg1247	Anna Sorokina	Haspelmath, M. (1993). A grammar of Lezgian. Berlin; New York: Mouton de Gruyter.	https://www.omniglot.com/writing/lezgi.htm	Cyrl
Lingala	ling1263	Asya Simonyan	Redden, J. & Bongo, F. (1963). Lingala, basic course. Washington: Department of State	https://www.omniglot.com/writing/lingala.htm	Latn
Lithuanian	lith1251	Darya Zubova	Mathiassen, T. (1996) A short grammar of Lithuanian, Slavica Publishers	https://www.omniglot.com/writing/lithuanian.htm	Latn
